recno,Name,F,SpT,Teff,Lum,Rad,Mass,Cl,Imag,RAJ2000,DEJ2000,UVB,VIS,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag_x,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
1,"SO397 ",false,M4.5,3200,0.19,1.45,0.2,2.0,14.1,84.55491666666666,-2.4357305555555553,"SO397_U.fit ","SO397_V.fit ",105070845549777486,84.55498152,-2.435799,0.009,0.008,0.0,503636096,60,56171.99471065,5,83,17.4813,0.0025,17.5095,0.0032,115000,16.2667,0.0037,16.305,0.0016,115000,14.8578,0.007,14.8668,0.0041,115000,14.1668,0.0057,14.1575,0.0034,115000,13.7927,0.0057,13.7781,0.0105,115000,0.339299
2,"SO490 ",false,M5.5,3060,0.08,1.02,0.14,2.0,15.32,84.59825,-2.346519444444444,"SO490_U.fit ","SO490_V.fit ",105180845982744561,84.59829098,-2.34656677,0.009,0.001,0.0,503636096,60,56166.79170139,5,82,19.4177,0.0138,19.5776,0.0113,115000,18.0498,0.023,18.1607,0.0107,115000,16.1261,0.0047,16.1964,0.0062,115000,15.334,0.0036,15.3832,0.0014,115000,14.8375,0.0047,14.8915,0.0035,115000,0.225288
3,"SO500 ",false,"M6  ",2990,0.02,0.47,0.08,2.0,17.3,84.60587499999998,-2.7114305555555553,"SO500_U.fit ","SO500_V.fit ",104740846059786683,84.60598844,-2.71145779,0.024,0.014,0.0,503636096,60,56371.72728009,5,78,21.2661,0.0453,21.242,0.0975,115000,19.631,0.0313,19.7323,0.0362,115000,18.1159,0.0193,18.2172,0.0211,115000,16.8994,0.0175,16.9914,0.0157,115000,16.4146,0.0464,16.6589,0.0328,115000,0.419544
4,"SO587 ",false,M4.5,3200,0.28,1.73,0.2,2.0,13.72,84.64183333333332,-2.6103694444444443,"SO587_U.fit ","SO587_V.fit ",104860846419167936,84.6419238,-2.61043996,0.034,0.01,0.0,503636096,60,56218.7580787,5,77,17.1046,0.0084,16.884,0.0283,115000,15.9926,0.0029,16.0361,0.0061,115000,14.5087,0.0035,14.5541,0.0037,115000,13.7508,0.003,13.8034,0.0034,115000,13.3459,0.005,13.3776,0.0034,115000,0.412662
5,"SO641 ",,"M5  ",3125,0.03,0.57,0.12,3.0,16.36,84.66070833333332,-2.6988305555555554,"SO641_U.fit ","SO641_V.fit ",104760846607871800,84.66081011,-2.69886833,0.009,0.008,0.0,503635968,60,56194.60645833,5,94,20.4578,0.0534,20.5622,0.072,115000,19.1338,0.0115,19.2549,0.0258,115000,17.2595,0.0052,17.3356,0.0065,115000,16.3926,0.0033,16.4616,0.0055,115000,15.9217,0.0048,16.0052,0.0093,115000,0.390437
6,"SO646 ",false,M3.5,3350,0.1,0.97,0.3,2.0,14.58,84.66254166666666,-2.7588805555555553,"SO646_U.fit ","SO646_V.fit ",104680846626199705,84.66263533,-2.75895166,0.004,0.003,0.0,503636096,60,56206.44280093,5,97,17.4348,0.0042,17.5015,0.0043,115000,16.3241,0.0505,16.4066,0.0468,115000,15.0564,0.0042,15.1214,0.0057,115000,14.5844,0.0314,14.6416,0.0236,115000,14.2598,0.0236,14.3001,0.0347,115000,0.423032
7,"SO797 ",,M4.5,3200,0.05,0.76,0.18,3.0,15.5,84.72879166666665,-2.482830555555555,"SO797_U.fit ","SO797_V.fit ",105020847288780978,84.72887855,-2.48288553,0.005,0.002,0.0,503635968,60,56139.30081019,5,80,19.1908,0.0089,19.3371,0.0113,115000,17.9702,0.0046,18.0854,0.0067,115000,16.2943,0.0049,16.3795,0.0101,115000,15.5111,0.0027,15.5702,0.0033,115000,15.1076,0.0041,15.1622,0.003,115000,0.369886
8,"SO848 ",false,"M4  ",3270,0.02,0.46,0.19,2.0,16.38,84.75808333333332,-2.584119444444444,"SO848_U.fit ","SO848_V.fit ",104890847580819478,84.7580862,-2.58414117,0.013,0.002,0.0,503635968,60,56321.35762731,5,82,19.7917,0.0228,20.0701,0.0151,115000,18.4452,0.021,18.5313,0.0156,115000,17.3667,0.0133,17.4775,0.0114,115000,16.5982,0.0182,16.6717,0.0204,115000,16.0863,0.048,16.1989,0.0288,115000,0.078889
9,"SO925 ",,M5.5,3060,0.03,0.58,0.1,3.0,16.54,84.79754166666666,-2.5591111111111107,"SO925_U.fit ","SO925_V.fit ",104920847974969502,84.79751204,-2.55912124,0.012,0.005,0.0,503635968,60,56205.02177083,10,76,20.5551,0.0213,20.7804,0.0855,115000,19.2987,0.0159,19.4414,0.02,115000,17.3153,0.0026,17.4113,0.005,115000,16.3651,0.0037,16.4389,0.0063,115000,15.856,0.0052,15.9215,0.0142,115000,0.112616
10,"SO999 ",,M5.5,3060,0.06,0.91,0.14,3.0,15.56,84.834375,-2.6404999999999994,"SO999_U.fit ","SO999_V.fit ",104830848343051792,84.83432397,-2.64054294,0.007,0.004,0.0,503635968,60,56226.85372685,5,94,19.5278,0.0115,19.6534,0.0318,115000,18.2778,0.0055,18.3719,0.0091,115000,16.334,0.002,16.4179,0.003,115000,15.4796,0.0041,15.5314,0.0027,115000,14.992,0.0033,15.0471,0.009,115000,0.239944
11,SO1260,false,"M4  ",3270,0.13,1.12,0.26,2.0,14.44,84.97345833333333,-2.561911111111111,SO1260_U.fit,SO1260_V.fit,104920849734476232,84.97342781,-2.56186797,0.003,0.002,0.0,503636096,60,56188.96540509,5,93,17.314,0.037,17.3673,0.0326,115000,16.2871,0.0236,16.3893,0.0319,115000,15.2509,0.0066,15.3039,0.011,115000,14.6148,0.0086,14.6709,0.0112,115000,14.1972,0.0115,14.2456,0.0149,115000,0.190187
12,SO1266,false,M4.5,3200,0.06,0.84,0.2,2.0,15.3,84.97591666666665,-2.4591305555555554,SO1266_U.fit,SO1266_V.fit,105040849758599541,84.9758601,-2.45909113,0.003,0.002,0.0,503635968,60,56293.76809028,5,83,18.7758,0.016,18.8936,0.0145,115000,17.578,0.0131,17.6797,0.0123,115000,15.9197,0.0024,15.9821,0.0032,115000,15.1703,0.0028,15.2288,0.0067,115000,14.7681,0.0042,14.8369,0.0091,115000,0.248068
