recno,Sample,Object,OName,RAJ2000,DEJ2000,ObsDate,JD,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000_x,DEJ2000_x,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
19," ",Sz90,"         ",241.79199999999997,-39.18430555555555,2457215.0,2457215.095862,"2x360 ","2x310 ","2x360 ",III,,Gaia DR3 5997077167735183872,241.79190239725,-39.18435150105,0.0,0.0,104.0,1636148068921376768,5997077167735183872,1252343160,0.0173,0.0111,6.2357,0.0204,306.0739,26.969,-9.353,0.024,-25.295,0.018,-0.2332,-0.0076,0.1828,-0.1224,0.0537,-0.0904,0.6112,-0.0416,-0.0535,-0.1504,438,0,433,5,9.9124,726.7,0.086,6.0037,31,false,1.308,,,,,,,,50,17,0.03387,55,0.03639,59.34,1,1,1.356,0,461,68110.71124,786.279,86.624,13.604328,0.012833,52,15813.3,658.654,24.0086,14.840984,0.045309,51,80843.8,2681.35,30.1504,12.478779,0.036208,1.419,0,0,0,0,0,2.362206,1.236656,1.125549,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.998258,,,,,,,,,,,,,,,,,,,,,,,241.7919560287,-39.18423907886,0.380621,0.278103,-0.1462,0.318645
20," ",Sz95,"         ",241.96799999999996,-38.96841666666666,2457215.0,2457215.118419,"2x360 ","2x310 ","2x360 ",III,,Gaia DR3 5997087510016827776,241.96790175556,-38.96846291839,0.0,0.0,102.0,1636148068921376768,5997087510016827776,1087196209,0.0218,0.0117,6.2317,0.0279,223.7466,25.715,-10.607,0.025,-23.425,0.017,-0.2937,-0.4319,-0.026,-0.0849,0.2783,-0.0723,0.5644,-0.2418,-0.1049,0.0184,485,0,485,0,7.0967,697.56,0.082,4.4102,31,false,1.261,,,,,,,,56,16,0.035674,59,0.03809,108.0,0,0,1.237,0,493,47186.38077,47.5308,992.755,14.002825,0.002964,53,8335.39,46.0415,181.041,15.536227,0.006614,55,60438.3,144.472,418.341,12.794615,0.004585,1.457,0,0,0,0,0,2.741612,1.533402,1.20821,0.81,4.27,2,30,15,16,22.408,,,796.551,,3700.0,4.5,0.5,101,,,,12.191308,0.025786,16,,VARIABLE,0.0,0.0,0.992964,,,,,,,,,,,,,,,,,,,,,,,241.9679623917,-38.9683588052,0.40859,0.272247,0.0259,0.321466
21," ",Sz96,"         ",242.0525833333333,-39.14263888888888,2457206.0,2457206.270061,"2x360 ","2x310 ","2x360 ",III,,Gaia DR3 5997081119105445376,242.05256984892,-39.14273451539,0.0,0.0,105.0,1636148068921376768,5997081119105445376,719835776,0.0159,0.0093,6.4113,0.0199,322.6381,25.518,-10.251,0.021,-23.369,0.014,-0.3128,-0.3472,0.0281,-0.1112,0.3429,0.0281,0.5956,-0.0254,-0.0118,0.0449,504,355,503,1,1.4328,912.92,0.078,8.0421,31,false,1.32,,,,,,,,57,16,0.028472,61,0.07364,15.57,0,0,1.045,0,532,131514.65757,966.122,136.126,12.889932,0.008438,58,32880.7,921.071,35.6983,14.04619,0.030542,59,147800.0,3042.45,48.5794,11.823707,0.022667,1.374,0,0,0,0,0,2.222484,1.156259,1.066225,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.992964,,,,,,,,,,,,,,,,,,,,,,,242.05262859205,-39.14263065396,0.329152,0.222118,0.0497,0.346308
22," ",2MASS J16081497-3857145,"         ",242.0623333333333,-38.954027777777775,2457132.0,2457132.335763,"4x900 ","4x850 ","4x960 ",III,,Gaia DR3 5997087746218718720,242.06233799437,-38.95412738054,0.001,0.0,101.0,1636148068921376768,5997087746218718720,1569447234,0.5412,0.2933,6.6301,0.6582,10.0732,29.954,-10.408,0.713,-28.088,0.437,-0.2628,-0.2626,-0.0772,-0.1579,0.306,-0.0158,0.5985,-0.2808,-0.0063,0.131,492,0,489,3,16.9815,1748.7,3.436,31.258,95,false,,0.7914,0.0798,0.039,0.074,-0.062,-0.015,-0.084,57,16,1.002234,60,0.3192,178.4,1,0,1.593,0,512,411.35511,2.48545,165.505,19.151825,0.007115,52,74.646,3.75864,19.8598,20.656027,0.054741,54,779.943,5.88087,132.624,17.517738,0.009017,2.077,0,1,0,1,0,3.138288,1.504202,1.634087,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999982,,,,,,,,,,,,,,,,,,,,,,,242.06239747588,-38.95400254597,11.468554,6.826278,0.1414,0.358807
23," ",Sz98,"         ",242.09374999999997,-39.07944444444444,2457205.0,2457205.132662,"2x150 ","2x100 ","2x150 ",III,,Gaia DR3 5997082867132347136,242.09366794478,-39.07967209166,0.0,0.0,103.0,1636148068921376768,5997082867132347136,324190370,0.0197,0.0109,6.399,0.0233,274.3922,26.317,-9.622,0.025,-24.495,0.017,-0.2968,-0.4054,-0.003,-0.0668,0.3077,0.0598,0.5779,0.022,0.0074,0.0237,522,514,512,10,18.1031,1876.4,0.133,29.143,31,true,1.373,,,,,,,,60,16,0.033947,62,0.07475,80.69,0,0,1.619,0,531,241248.66625,3025.58,79.7363,12.231205,0.013893,60,79570.9,3708.45,21.4566,13.086657,0.050678,61,260215.0,8039.34,32.3678,11.209563,0.033756,1.408,0,38,0,0,0,1.877093,0.855452,1.021642,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999389,,,,,,,,,,,,,,,,,,,,,,,242.0937230323,-39.07956322557,0.393339,0.257952,0.0246,0.851007
24," ",Lup607,"         ",242.1170833333333,-39.21944444444444,2457165.0,2457165.214447,"4x900 ","4x850 ","4x960 ",III,,Gaia DR3 5997033015470255488,242.11709397399,-39.21947749002,0.0,0.0,102.0,1636148068921376768,5997033015470255488,415101334,0.1534,0.0742,5.8895,0.1966,29.9514,25.64,-14.586,0.171,-21.087,0.113,-0.3604,-0.6115,0.2578,0.0077,0.2861,-0.0577,0.594,-0.3276,-0.1611,0.0607,550,0,549,1,2.3602,904.26,0.6,8.0505,95,false,,1.1692,0.0188,0.104,0.1,-0.145,0.028,-0.035,64,15,0.251425,68,0.01137,116.0,0,0,1.072,0,580,1635.06694,1.70536,958.782,17.653528,0.002979,64,118.74,5.29147,22.4399,20.152048,0.048465,61,2524.37,7.49411,336.847,16.242512,0.004967,1.617,0,0,0,0,0,3.909536,2.49852,1.411016,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,1.0,3051.2,3045.7,3057.0,3.8607,3.8549,3.8726,-0.5067,-0.5164,-0.5016,211.1702,208.3507,213.2002,3.1646,3.1329,3.1982,1.8548,1.8354,1.8756,1.2605,1.2491,1.2723,PHOENIX,242.11717765104,-39.21938376869,2.69766,1.758686,0.0642,0.12261
25," ",Sz102,"         ",242.12387499999997,-39.05305555555555,2457129.0,2457129.298225,2x1200,2x1260,2x1200,III,,Gaia DR3 5997083008890845184,242.12383258341,-39.05316237194,0.0,0.0,96.0,1636148068921376768,5997083008890845184,1379860114,0.4059,0.1993,1.4371,0.4857,2.9588,23.196,-5.596,0.464,-22.511,0.316,-0.1756,-0.4437,0.1873,0.0729,0.1539,0.1122,0.6014,-0.212,-0.1177,0.1583,483,0,478,5,91.8986,21190.0,2.798,470.75,95,false,,1.2525,0.054,0.14,0.138,-0.031,-0.057,-0.061,56,16,0.664691,59,0.2928,3.113,0,0,5.179,0,505,4921.63997,36.0363,136.574,16.457092,0.008414,55,3642.33,48.1772,75.6028,16.435095,0.01463,55,5607.21,84.9882,65.9764,15.376028,0.016885,1.879,0,0,0,0,0,1.059067,-0.021997,1.081064,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999913,,,,,,,,,,,,,,,,,,,,,,,242.12386460974,-39.05306232236,7.360083,4.938984,0.1544,0.402407
26," ",SSTc2dJ160830.7-382827,"         ",242.12791666666664,-38.47411111111111,2457205.0,2457205.155128,"2x150 ","2x100 ","2x150 ",III,,Gaia DR3 5997490206145065088,242.12785804433,-38.47423634791,0.0,0.0,110.0,1636148068921376768,5997490206145065088,1518849479,0.0281,0.0175,6.518,0.0305,213.9611,27.149,-9.891,0.038,-25.283,0.027,-0.4048,-0.1455,0.204,-0.3612,0.0191,-0.2857,0.6864,-0.1996,-0.058,-0.2624,470,470,469,1,25.4329,3092.1,0.213,68.974,31,false,1.459,,,,,,,,53,17,0.056049,59,0.03744,19.37,1,0,1.941,0,483,1007215.26249,1101.51,914.397,10.679561,0.003,56,436457.0,1631.94,267.446,11.238688,0.004926,55,827391.0,2226.05,371.685,9.953618,0.004777,1.255,0,0,0,0,0,1.285069,0.559127,0.725943,-1.5,0.75,1,14,11,9,75.711,2.981,1.27E-4,420.519,7.07,4500.0,2.5,-1.5,111,,,,9.656083,0.016908,2,,VARIABLE,0.0,0.0,0.999832,5369.9,5351.2,5401.5,4.0015,3.9895,4.0192,0.0353,0.0204,0.0608,157.8066,156.2788,159.454,0.8906,0.8771,0.9119,0.7092,0.6981,0.7268,0.3791,0.373,0.3885,MARCS,242.12791419335,-38.4741239789,0.607843,0.42619,-0.2437,0.480173
27," ",SSTc2dJ160836.2-392302,V1094 Sco,242.15074999999996,-39.384027777777774,2457521.0,2457522.227447,"4x300 ","4x250 ","4x100 ",III,,Gaia DR3 5997022192152593664,242.15068094899,-39.38412140542,0.0,0.0,111.0,1636148068921376768,5997022192152593664,1015408478,0.0266,0.0168,6.4615,0.0318,203.307,25.306,-9.98,0.036,-23.255,0.03,-0.436,-0.1544,0.1152,-0.3142,0.0178,-0.3514,0.716,-0.06,-0.2692,-0.3893,557,548,556,1,31.0471,3291.3,0.204,66.711,31,true,1.347,,,,,,,,65,16,0.056239,70,0.1343,109.2,0,0,2.068,0,587,180773.38185,948.003,190.689,12.544531,0.006325,70,52638.1,997.692,52.7598,13.535292,0.020767,70,194512.0,2698.16,72.0905,11.525532,0.015528,1.367,0,1,0,0,0,2.00976,0.990761,1.018999,-0.54,7.16,1,33,4,14,54.588,57.157,0.0,796.449,102.45,4250.0,2.0,-1.5,111,,,,11.05347,0.032177,29,,VARIABLE,0.0,0.0,0.99979,4875.2,4846.2,4956.9,4.169,4.1651,4.1876,-0.695,-0.7142,-0.671,152.4362,151.2485,154.617,2.2434,2.2137,2.3209,1.6642,1.6409,1.7261,0.904,0.8909,0.9384,PHOENIX,242.15073833777,-39.38401805031,0.579992,0.4643,-0.3741,0.387974
28," ",Sz108B,"         ",242.17862499999995,-39.10408333333333,2457191.0,2457191.161119,"4x900 ","4x850 ","4x960 ",III,,Gaia DR3 5997082218616859264,242.1786216647,-39.10417813281,0.0,0.0,102.0,1636148068921376768,5997082218616859264,426709241,0.0519,0.0268,6.2027,0.0631,98.2314,24.255,-10.679,0.058,-21.777,0.041,-0.3029,-0.4987,0.1913,-0.0393,0.2692,-0.0322,0.5469,-0.2161,-0.0172,-0.0063,542,0,540,2,6.714,930.9,0.26,9.1425,31,false,1.219,,,,,,,,63,17,0.082602,66,0.1761,111.7,1,0,1.211,0,559,8210.26651,116.653,70.3821,15.901474,0.01567,53,1214.9,55.138,22.0339,17.627188,0.049355,53,13120.5,533.476,24.5944,14.453016,0.044307,1.746,3,1,6,0,0,3.174171,1.725714,1.448458,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,242.17868282662,-39.10408134439,0.920423,0.641368,-0.0036,0.341405
29," ",2MASS J16085324-3914401,"         ",242.22179166666663,-39.24452777777777,2457215.0,2457215.136035,"2x450 ","2x400 ","2x480 ",III,,Gaia DR3 5997033290348155136,242.221781728,-39.24459475547,0.0,0.0,103.0,1636148068921376768,5997033290348155136,210385565,0.0368,0.0186,6.1349,0.0485,126.4033,26.018,-10.514,0.041,-23.799,0.029,-0.35,-0.4856,0.0468,-0.0155,0.2698,-0.0731,0.5365,-0.2392,-0.1367,-0.0775,557,0,554,3,4.5979,975.3,0.182,9.9722,31,false,1.215,,,,,,,,63,16,0.058537,66,0.01485,128.0,0,0,1.141,0,554,18455.2146,24.744,745.846,15.022069,0.003116,61,2115.96,16.494,128.287,17.024776,0.008911,58,26334.6,81.4985,323.13,13.69658,0.005057,1.542,0,0,0,0,0,3.328197,2.002707,1.325489,25.78,6.77,2,26,1,12,11.524,,,796.199,,3600.0,3.5,-0.75,111,,,,13.039554,0.040582,27,,VARIABLE,0.0,0.0,0.999995,3833.9,3831.8,3835.9,4.1601,4.152,4.1682,0.3832,0.3688,0.3949,160.4226,158.766,161.8297,3.3125,3.3051,3.32,2.0904,2.0855,2.0952,1.308,1.3053,1.3106,PHOENIX,242.22184206577,-39.24448898304,0.662361,0.461777,-0.0762,0.242707
30," ",2MASS J16085373-3914367,"         ",242.22387499999996,-39.24352777777777,2457165.0,2457165.287007,"4x900 ","4x850 ","4x960 ",III,1,Gaia DR3 5997033290348155392,242.22384098259,-39.24365351958,0.002,0.001,100.0,1636148068921376768,5997033290348155392,1273058452,1.6327,0.612,6.7242,2.0759,3.2393,24.293,-10.112,1.326,-22.088,0.991,-0.43,-0.7295,0.207,0.0279,0.3225,-0.1978,0.5584,-0.2895,-0.214,-0.1299,459,0,457,2,9.2487,864.59,4.872,10.303,95,false,,0.9413,0.1647,0.149,0.07,-0.099,0.005,-0.108,52,14,2.213131,55,0.1177,18.15,0,0,1.322,0,478,123.6936,0.679349,182.077,20.4565,0.006569,22,33.0651,6.5365,5.05853,21.540117,0.214653,49,250.739,5.98142,41.9197,18.74984,0.026175,2.294,0,0,0,0,1,2.790277,1.083618,1.706659,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,,,,,,,,,,,,,,,,,,,,,,,242.2238990121,-39.24355534894,20.940346,15.524304,-0.1301,0.462499
31," ",2MASS J16085529-3848481,"         ",242.23037499999995,-38.81336111111111,2457215.0,2457215.156936,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997464711218416384,242.23031258338,-38.81348669795,0.0,0.0,93.0,1636148068921376768,5997464711218416384,229120483,0.0723,0.04,6.4262,0.0893,71.9298,25.996,-10.915,0.1,-23.594,0.064,-0.059,-0.3203,0.2633,0.0824,0.1066,0.1438,0.6557,-0.3907,-0.0759,0.2532,542,0,541,1,1.3744,799.33,0.311,5.75,31,false,1.185,,,,,,,,62,17,0.146021,65,0.04526,20.7,2,0,1.042,0,549,3587.57804,8.92558,401.943,16.800364,0.003859,63,313.425,9.40817,33.3142,19.098207,0.03271,61,5513.18,29.9773,183.912,15.39439,0.00701,1.624,0,0,0,0,0,3.703817,2.297844,1.405973,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,242.23037483903,-38.81338183706,1.587939,0.995813,0.2529,0.48483
32," ",SSTc2dJ160927.0-383628,"         ",242.36241666666663,-38.60766666666666,2457216.0,2457216.022778,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997474228866220288,242.36236237762,-38.60758357842,0.0,0.0,96.0,1636148068921376768,5997474228866220288,100813687,0.0595,0.0327,6.2817,0.0666,94.2799,24.742,-9.252,0.096,-22.947,0.054,-0.1251,-0.1489,0.3214,-0.0352,0.1523,0.1656,0.7365,-0.1986,-0.0427,0.3271,556,0,555,1,3.2881,706.71,0.143,1.8226,31,false,1.246,,,,,,,,64,17,0.137767,68,0.2675,177.9,0,0,1.1,0,551,4785.31386,90.0965,53.1132,16.48759,0.020627,64,956.333,55.3478,17.2786,17.887018,0.062899,63,6686.3,328.061,20.3813,15.18493,0.053405,1.597,0,8,0,8,0,2.702088,1.399427,1.302661,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999937,,,,,,,,,,,,,,,,,,,,,,,242.36241499623,-38.60748159095,1.5182,0.844434,0.3351,0.335851
33," ",Sz117,"         ",242.43474999999998,-39.22508333333333,2457216.0,2457216.06882,"2x360 ","2x310 ","2x360 ",III,,Gaia DR3 5997393311680941696,242.43478954289,-39.22515515761,0.0,0.0,100.0,1636148068921376768,5997393311680941696,1219636562,0.0157,0.0085,6.3715,0.0198,322.3258,25.765,-8.167,0.02,-24.437,0.014,-0.2297,-0.1159,-0.0958,-0.1231,0.089,-0.1098,0.5362,-0.2487,-0.171,-0.1002,568,9,566,2,6.8043,761.02,0.048,1.9761,31,false,1.291,,,,,,,,66,17,0.028181,69,0.08906,97.53,1,0,1.209,0,563,60275.13242,404.739,148.924,13.737021,0.007794,64,13174.1,306.694,42.9551,15.039243,0.02543,64,72828.9,1414.78,51.4773,12.592135,0.021428,1.427,0,5,0,0,0,2.447107,1.302221,1.144886,1.67,4.34,2,31,3,12,26.784,,,766.316,,3800.0,3.5,0.5,111,,,,12.02462,0.056435,28,,VARIABLE,0.0,0.0,0.996487,,,,,,,,,,,,,,,,,,,,,,,242.43483639885,-39.22504655047,0.323157,0.216481,-0.0917,0.281102
34," ",Sz118,"         ",242.45266666666663,-39.18802777777777,2457216.0,2457216.097061,"2x450 ","2x400 ","2x480 ",III,,Gaia DR3 5997405509388068352,242.45267366404,-39.18811792928,0.0,0.0,99.0,1636148068921376768,5997405509388068352,623231509,0.0211,0.0108,6.1935,0.0252,246.2023,25.833,-10.573,0.026,-23.57,0.018,-0.2231,-0.1686,-0.1399,-0.1591,0.086,-0.1073,0.5433,-0.2075,-0.1962,-0.0365,580,0,580,0,18.1631,1331.2,0.138,18.497,31,false,1.29,,,,,,,,67,18,0.036682,70,0.1208,138.3,0,0,1.58,0,594,66222.76867,1062.37,62.3348,13.634849,0.017634,68,14606.6,816.884,17.8809,14.927167,0.060784,70,79207.2,3566.66,22.2077,12.500983,0.049036,1.417,0,0,0,0,0,2.426184,1.292318,1.133865,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.997667,,,,,,,,,,,,,,,,,,,,,,,242.45273428982,-39.18801317362,0.423425,0.276193,-0.0252,0.325132
35," ",2MASS J16100133-3906449,"         ",242.50549999999996,-39.112472222222216,2457216.0,2457216.122794,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997407330454214016,242.50549201352,-39.11255546956,0.0,0.0,95.0,1636148068921376768,5997407330454214016,708555363,0.1355,0.0697,5.4313,0.1656,32.8014,26.214,-10.587,0.164,-23.981,0.106,-0.1293,-0.329,0.1041,-0.094,0.0837,-0.026,0.6032,-0.4192,-0.1012,0.1194,522,0,518,4,7.949,2207.3,0.958,47.897,95,false,,1.0998,0.0218,0.155,0.078,-0.078,-0.029,-0.094,61,17,0.235809,63,0.07754,11.92,0,0,1.258,0,536,3417.99346,6.26128,545.894,16.85294,0.003398,59,136.895,5.82218,23.5126,19.997576,0.046261,60,5942.1,16.2699,365.22,15.313046,0.004808,1.779,0,0,0,0,0,4.684529,3.144636,1.539893,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,242.50555265772,-39.11244888536,2.617716,1.657939,0.1287,0.30052
36," ",SSTc2dJ161018.6-383613,"         ",242.57733333333329,-38.60361111111111,2457252.0,2457252.041176,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997493401602368640,242.57731435884,-38.60361161256,0.0,0.0,109.0,1636148068921376768,5997493401602368640,1309915380,0.0896,0.0574,6.2267,0.0982,63.4364,26.772,-8.994,0.12,-25.216,0.092,-0.3552,-0.0974,0.3952,-0.2945,-0.075,-0.1655,0.8075,-0.1983,-0.267,-0.0351,547,0,542,5,1.4025,1504.1,0.535,28.376,95,false,,1.1679,0.0121,-0.086,0.232,-0.097,-0.226,0.127,63,16,0.172321,68,0.04296,13.15,0,0,1.043,0,580,6039.74391,11.5498,522.933,16.234821,0.00345,62,648.673,7.11622,91.1542,18.308477,0.012233,64,8835.43,47.4173,186.333,14.882327,0.006945,1.57,0,55,0,53,0,3.42615,2.073656,1.352494,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999995,3281.9,3275.7,3285.7,4.5928,4.5509,4.5975,0.4656,0.4439,0.4731,153.9926,153.0749,162.732,1.3732,1.3489,1.3886,0.8251,0.8103,0.8344,0.6155,0.605,0.6219,MARCS,242.57736550976,-38.60349954073,1.882753,1.424321,-0.0163,0.053412
37," ",SSTc2dJ161019.8-383607,"         ",242.58266666666663,-38.60188888888889,2457242.0,2457242.086534,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997493401600889856,242.58258795304,-38.60194170126,0.0,0.0,108.0,1636148068921376768,5997493401600889856,1588343864,0.0976,0.0615,6.2989,0.1152,54.6883,26.792,-8.978,0.128,-25.243,0.105,-0.3592,-0.1087,0.3179,-0.2889,-0.1428,-0.1649,0.7936,-0.1729,-0.3735,-0.0731,540,0,539,1,1.4156,784.39,0.365,5.0306,31,false,1.18,,,,,,,,62,16,0.183941,67,0.02845,31.12,0,0,1.043,0,570,2651.97146,2.1848,1213.83,17.128445,0.002897,26,208.872,8.89562,23.4803,19.538841,0.046324,25,4185.01,13.2043,316.943,15.693653,0.005101,1.657,0,19,0,19,0,3.845188,2.410397,1.434792,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,242.58263901237,-38.60182951202,2.017864,1.633968,-0.0563,0.291871
38," ",SSTc2dJ161029.6-392215,"         ",242.6232083333333,-39.370749999999994,2457247.0,2457247.090628,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997387985921425408,242.6230788608,-39.37079040888,0.0,0.0,97.0,1636148068921376768,5997387985921425408,974765874,0.0351,0.0198,6.2329,0.0417,149.4699,26.346,-9.292,0.046,-24.653,0.031,-0.1523,-0.2132,0.1852,-0.0769,0.1027,0.0169,0.6136,-0.1157,-0.0427,0.0975,517,0,517,0,1.8376,723.03,0.151,4.7444,31,false,1.217,,,,,,,,59,18,0.064295,64,0.05453,10.55,0,0,1.057,0,509,13299.05952,13.7681,965.934,15.377814,0.002976,57,1569.38,15.4687,101.455,17.34922,0.011059,52,19021.8,66.4666,286.186,14.049767,0.005355,1.548,0,0,0,0,0,3.299454,1.971406,1.328048,64.6,5.59,2,24,6,10,7.6499,,,795.948,,3500.0,4.5,0.75,101,,,,13.510866,0.089561,24,,VARIABLE,0.0,0.0,0.99999,,,,,,,,,,,,,,,,,,,,,,,242.62313228285,-39.37068083757,0.729166,0.480891,0.1035,0.38858
